TimeSeries ID,tex-chart-0-1-0
project_id,proyecto-plataforma-mooc
Fri Sep 25 2026 13:12:00 GMT-0500 (hora estándar de Colombia),7
Fri Sep 25 2026 13:13:00 GMT-0500 (hora estándar de Colombia),7
Fri Sep 25 2026 13:14:00 GMT-0500 (hora estándar de Colombia),7
Fri Sep 25 2026 13:15:00 GMT-0500 (hora estándar de Colombia),7
Fri Sep 25 2026 13:16:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:17:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:18:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:19:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:20:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:21:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:22:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:23:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:24:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:25:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:26:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:27:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:28:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:29:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:30:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:31:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:32:00 GMT-0500 (hora estándar de Colombia),12
Fri Sep 25 2026 13:33:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:34:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:35:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:36:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:37:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:38:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:39:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:40:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:41:00 GMT-0500 (hora estándar de Colombia),28
Fri Sep 25 2026 13:42:00 GMT-0500 (hora estándar de Colombia),28
Fri Sep 25 2026 13:43:00 GMT-0500 (hora estándar de Colombia),28
Fri Sep 25 2026 13:44:00 GMT-0500 (hora estándar de Colombia),28
Fri Sep 25 2026 13:45:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:46:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:47:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:48:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:49:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 13:50:00 GMT-0500 (hora estándar de Colombia),10
Fri Sep 25 2026 13:51:00 GMT-0500 (hora estándar de Colombia),28
Fri Sep 25 2026 13:52:00 GMT-0500 (hora estándar de Colombia),28
Fri Sep 25 2026 13:53:00 GMT-0500 (hora estándar de Colombia),28
Fri Sep 25 2026 13:54:00 GMT-0500 (hora estándar de Colombia),28
Fri Sep 25 2026 13:55:00 GMT-0500 (hora estándar de Colombia),8
