host,timestamp,container_cpu_pct,container_mem_used_mb,container_mem_limit_mb,container_net_rx_mb,container_net_tx_mb,host_cpu_used_pct,host_mem_used_mb,host_mem_total_mb,host_load1,pg_active_connections
web-server,2026-09-25T19:18:45Z,0.00,35.97MiB,1.93GiB,1.07GB,1.17GB,1,619,1976,0.01,1
web-server,2026-09-25T19:18:56Z,0.00,35.76MiB,1.93GiB,1.07GB,1.17GB,1,601,1976,0.16,1
web-server,2026-09-25T19:19:05Z,0.00,35.76MiB,1.93GiB,1.07GB,1.17GB,1,642,1976,0.15,1
web-server,2026-09-25T19:19:13Z,0.00,35.76MiB,1.93GiB,1.07GB,1.17GB,1,623,1976,0.43,1
web-server,2026-09-25T19:19:22Z,0.00,35.86MiB,1.93GiB,1.07GB,1.17GB,6,644,1976,0.36,1
web-server,2026-09-25T19:19:30Z,0.51,35.86MiB,1.93GiB,1.07GB,1.17GB,1,626,1976,0.33,1
web-server,2026-09-25T19:19:39Z,11.53,36.06MiB,1.93GiB,1.07GB,1.17GB,3,641,1976,0.36,1
web-server,2026-09-25T19:19:47Z,0.24,36.07MiB,1.93GiB,1.07GB,1.17GB,1,627,1976,0.30,1
web-server,2026-09-25T19:19:56Z,0.33,36.73MiB,1.93GiB,1.07GB,1.18GB,1,649,1976,0.28,1
web-server,2026-09-25T19:20:04Z,0.71,36.64MiB,1.93GiB,1.07GB,1.18GB,1,631,1976,0.38,1
web-server,2026-09-25T19:20:13Z,0.91,36.77MiB,1.93GiB,1.07GB,1.18GB,1,644,1976,0.32,1
web-server,2026-09-25T19:20:21Z,0.71,36.84MiB,1.93GiB,1.07GB,1.18GB,1,635,1976,0.27,1
web-server,2026-09-25T19:20:29Z,1.21,36.9MiB,1.93GiB,1.07GB,1.18GB,2,626,1976,0.25,1
web-server,2026-09-25T19:20:38Z,0.98,36.9MiB,1.93GiB,1.07GB,1.18GB,2,653,1976,0.21,1
web-server,2026-09-25T19:20:46Z,0.81,36.73MiB,1.93GiB,1.07GB,1.18GB,2,636,1976,0.18,1
web-server,2026-09-25T19:20:55Z,1.26,36.83MiB,1.93GiB,1.07GB,1.18GB,2,616,1976,0.16,1
web-server,2026-09-25T19:21:03Z,0.50,36.7MiB,1.93GiB,1.07GB,1.18GB,1,619,1976,0.22,1
web-server,2026-09-25T19:21:12Z,1.85,36.86MiB,1.93GiB,1.07GB,1.18GB,2,639,1976,0.18,1
web-server,2026-09-25T19:21:20Z,1.44,36.62MiB,1.93GiB,1.07GB,1.18GB,2,631,1976,0.17,1
web-server,2026-09-25T19:21:29Z,0.25,36.81MiB,1.93GiB,1.07GB,1.18GB,2,656,1976,0.36,1
web-server,2026-09-25T19:21:37Z,0.71,36.82MiB,1.93GiB,1.07GB,1.18GB,2,658,1976,0.31,1
web-server,2026-09-25T19:21:45Z,0.00,36.8MiB,1.93GiB,1.07GB,1.18GB,1,633,1976,0.28,1
web-server,2026-09-25T19:21:54Z,0.00,36.8MiB,1.93GiB,1.07GB,1.18GB,1,644,1976,0.39,1
web-server,2026-09-25T19:22:02Z,0.00,36.8MiB,1.93GiB,1.07GB,1.18GB,1,634,1976,0.33,1
web-server,2026-09-25T19:22:11Z,0.00,36.8MiB,1.93GiB,1.07GB,1.18GB,1,640,1976,0.30,1
web-server,2026-09-25T19:22:19Z,0.59,36.56MiB,1.93GiB,1.07GB,1.18GB,2,633,1976,0.33,1
web-server,2026-09-25T19:22:28Z,0.73,36.56MiB,1.93GiB,1.07GB,1.18GB,1,644,1976,0.28,1
web-server,2026-09-25T19:22:36Z,6.69,38.3MiB,1.93GiB,1.07GB,1.18GB,3,642,1976,0.23,1
web-server,2026-09-25T19:22:45Z,3.26,38.62MiB,1.93GiB,1.07GB,1.18GB,4,626,1976,0.21,1
web-server,2026-09-25T19:22:53Z,5.72,38.7MiB,1.93GiB,1.07GB,1.18GB,4,644,1976,0.18,1
web-server,2026-09-25T19:23:01Z,5.62,38.79MiB,1.93GiB,1.07GB,1.18GB,6,662,1976,0.15,1
web-server,2026-09-25T19:23:10Z,3.78,38.57MiB,1.93GiB,1.08GB,1.18GB,2,657,1976,0.22,1
web-server,2026-09-25T19:23:18Z,4.98,38.5MiB,1.93GiB,1.08GB,1.18GB,22,642,1976,0.27,1
web-server,2026-09-25T19:23:27Z,4.70,36MiB,1.93GiB,1.08GB,1.18GB,4,642,1976,0.22,1
web-server,2026-09-25T19:23:36Z,4.61,36.53MiB,1.93GiB,1.08GB,1.18GB,5,640,1976,0.21,1
web-server,2026-09-25T19:23:44Z,3.91,36.43MiB,1.93GiB,1.08GB,1.18GB,5,625,1976,0.40,1
web-server,2026-09-25T19:23:53Z,3.75,36.95MiB,1.93GiB,1.08GB,1.18GB,3,637,1976,0.33,1
web-server,2026-09-25T19:24:01Z,5.67,36.96MiB,1.93GiB,1.08GB,1.18GB,5,650,1976,0.71,1
web-server,2026-09-25T19:24:09Z,6.19,36.75MiB,1.93GiB,1.08GB,1.18GB,4,643,1976,0.60,1
web-server,2026-09-25T19:24:18Z,2.98,36.56MiB,1.93GiB,1.08GB,1.18GB,3,649,1976,0.51,1
web-server,2026-09-25T19:24:26Z,3.15,36.71MiB,1.93GiB,1.08GB,1.18GB,4,651,1976,0.43,1
web-server,2026-09-25T19:24:35Z,3.38,36.71MiB,1.93GiB,1.08GB,1.18GB,5,640,1976,0.39,1
web-server,2026-09-25T19:24:43Z,7.09,36.8MiB,1.93GiB,1.08GB,1.18GB,5,638,1976,0.41,1
web-server,2026-09-25T19:24:52Z,5.08,36.91MiB,1.93GiB,1.08GB,1.18GB,4,640,1976,0.34,1
web-server,2026-09-25T19:25:00Z,4.52,37.04MiB,1.93GiB,1.08GB,1.18GB,3,641,1976,0.32,1
web-server,2026-09-25T19:25:08Z,4.37,36.8MiB,1.93GiB,1.08GB,1.19GB,3,639,1976,0.27,1
web-server,2026-09-25T19:25:17Z,5.40,36.26MiB,1.93GiB,1.08GB,1.19GB,3,621,1976,0.30,1
web-server,2026-09-25T19:25:25Z,3.54,36.77MiB,1.93GiB,1.08GB,1.19GB,5,657,1976,0.28,1
